"Time","GateState","kot","Velocity","Acceleration"
0.046384,0,0.000,,
0.050496,1,,,
0.088306,0,0.524,12.979,23.32
0.092111,1,,,
0.127284,0,1.047,13.876,22.72
0.130984,1,,,
0.163920,0,1.571,14.663,20.27
0.167384,1,,,
0.198788,0,2.094,15.351,19.18
0.202126,1,,,
0.232199,0,2.618,15.998,19.58
0.235396,1,,,
0.264297,0,3.142,16.570,16.05
0.267384,1,,,
0.295426,0,3.665,17.055,15.12
0.298397,1,,,
0.325720,0,4.189,17.500,14.24
0.328684,1,,,
0.355284,0,4.712,17.885,11.76
0.358084,1,,,
0.384284,0,5.236,18.248,13.29
0.387084,1,,,
0.412684,0,5.760,18.672,16.60
0.415387,1,,,
0.440384,0,6.283,19.033,9.41
0.442984,1,,,
0.467710,0,6.807,19.324,11.90
0.470284,1,,,
0.494584,0,7.330,19.652,12.53
0.497195,1,,,
0.521004,0,7.854,19.988,12.86
0.523519,1,,,
0.546984,0,8.378,20.301,11.26
0.549484,1,,,
0.572594,0,8.901,20.574,10.04
0.575091,1,,,
0.597888,0,9.425,20.811,8.77
0.600384,1,,,
0.622915,0,9.948,21.015,7.53
0.625381,1,,,
0.647720,0,10.472,21.213,8.38
0.650181,1,,,
0.672284,0,10.996,21.333,1.43
0.674628,1,,,
0.696807,0,11.519,21.460,8.91
0.699184,1,,,
0.721084,0,12.043,21.681,9.29
0.723431,1,,,
0.745110,0,12.566,21.816,1.98
0.747384,1,,,
0.769084,0,13.090,21.959,9.89
0.771320,1,,,
0.792802,0,13.614,22.140,5.40
0.795123,1,,,
0.816384,0,14.137,22.331,10.77
0.818614,1,,,
0.839700,0,14.661,22.497,3.52
0.841984,1,,,
0.862932,0,15.184,22.626,7.59
0.865202,1,,,
0.885984,0,15.708,22.767,4.60
0.888205,1,,,
0.908929,0,16.232,22.863,3.77
0.911184,1,,,
0.931788,0,16.755,22.966,5.27
0.934016,1,,,
0.954527,0,17.279,22.967,-5.16
0.956710,1,,,
0.977384,0,17.802,23.023,10.08
0.979531,1,,,
1.000014,0,18.326,23.168,2.72
1.002224,1,,,
1.022584,0,18.850,23.183,-1.40
1.024703,1,,,
1.045184,0,19.373,23.257,7.97
1.047285,1,,,
1.067612,0,19.897,23.375,2.53
1.069815,1,,,
1.089984,0,20.420,23.489,7.70
1.092122,1,,,
1.112194,0,20.944,23.585,0.94
1.114384,1,,,
1.134385,0,21.468,23.675,7.16
1.136530,1,,,
1.156427,0,21.991,23.747,-0.68
1.158584,1,,,
1.178484,0,22.515,23.770,2.76
1.180594,1,,,
1.200484,0,23.038,23.854,4.91
1.202592,1,,,
1.222384,0,23.562,23.801,-9.76
1.224484,1,,,
1.244484,0,24.086,23.747,4.85
1.246584,1,,,
1.266484,0,24.609,23.888,8.03
1.268584,1,,,
1.288322,0,25.133,23.906,-6.42
1.290400,1,,,
1.310289,0,25.656,23.856,1.86
1.312384,1,,,
1.332219,0,26.180,23.942,6.01
1.334384,1,,,
1.354028,0,26.704,24.079,6.58
1.356112,1,,,
1.375709,0,27.227,24.139,-1.13
1.377884,1,,,
1.397411,0,27.751,24.185,5.37
1.399527,1,,,
1.419010,0,28.274,24.238,-0.44
1.421112,1,,,
1.440616,0,28.798,24.239,0.56
1.442710,1,,,
1.462212,0,29.322,24.296,4.67
1.464316,1,,,
1.483719,0,29.845,24.313,-3.04
1.485784,1,,,
1.505284,0,30.369,23.934,-32.15
1.507384,1,,,
1.527492,0,30.892,23.036,-48.64
1.529730,1,,,
1.550795,0,31.416,21.898,-49.09
1.553084,1,,,
1.575384,0,31.940,20.839,-37.00
1.577729,1,,,
1.601096,0,32.463,19.857,-39.41
1.603693,1,,,
1.628193,0,32.987,18.832,-36.25
1.630884,1,,,
1.656784,0,33.510,17.812,-35.08
1.659629,1,,,
1.687084,0,34.034,16.763,-34.19
1.690184,1,,,
1.719384,0,34.558,15.690,-32.21
1.722605,1,,,
1.753984,0,35.081,14.600,-30.78
1.757484,1,,,
1.791315,0,35.605,13.504,-27.96
1.795128,1,,,
1.831784,0,36.128,12.391,-27.05
1.835810,1,,,
1.876194,0,36.652,11.296,-22.27
1.880688,1,,,
1.924884,0,37.176,10.277,-19.60
1.929884,1,,,
1.978584,0,37.699,9.254,-18.49
1.983984,1,,,
2.038784,0,38.223,8.244,-15.08
2.044826,1,,,
2.106493,0,38.746,7.274,-13.56
2.113626,1,,,
2.184084,0,39.270,6.304,-11.45
2.192118,1,,,
2.274584,0,39.794,5.323,-10.23
2.284384,1,,,
2.384584,0,40.317,4.310,-8.18
2.396710,1,,,
2.524711,0,40.841,3.287,-6.42
2.540728,1,,,
2.721984,0,41.364,2.218,-4.42
2.746484,1,,,
3.101984,0,41.888,,
3.192284,1,,,
