"Time","GateState","kot","Velocity","Acceleration"
0.032184,0,0.000,,
0.035326,1,,,
0.063703,0,0.524,16.891,17.70
0.066784,1,,,
0.094214,0,1.047,17.400,15.65
0.097129,1,,,
0.123910,0,1.571,17.823,12.87
0.126783,1,,,
0.152982,0,2.094,18.225,14.78
0.155783,1,,,
0.181384,0,2.618,18.564,9.06
0.184084,1,,,
0.209397,0,3.142,18.870,12.80
0.212083,1,,,
0.236888,0,3.665,19.223,12.85
0.239583,1,,,
0.263884,0,4.189,19.541,10.76
0.266394,1,,,
0.290483,0,4.712,19.856,12.93
0.292983,1,,,
0.316630,0,5.236,20.180,11.79
0.319183,1,,,
0.342383,0,5.760,20.498,12.90
0.344883,1,,,
0.367726,0,6.283,20.766,8.27
0.370195,1,,,
0.392815,0,6.807,21.005,10.82
0.395284,1,,,
0.417584,0,7.330,21.256,9.41
0.419983,1,,,
0.442084,0,7.854,21.416,3.64
0.444483,1,,,
0.466483,0,8.378,21.594,10.97
0.468813,1,,,
0.490583,0,8.901,21.710,-1.37
0.492883,1,,,
0.514720,0,9.425,21.773,6.64
0.517083,1,,,
0.538680,0,9.948,22.017,13.73
0.540983,1,,,
0.562288,0,10.472,22.172,-0.59
0.564520,1,,,
0.585910,0,10.996,22.275,9.27
0.588183,1,,,
0.609303,0,11.519,22.472,7.55
0.611590,1,,,
0.632513,0,12.043,22.659,8.61
0.634784,1,,,
0.655520,0,12.566,22.807,4.22
0.657783,1,,,
0.678430,0,13.090,22.933,6.85
0.680683,1,,,
0.701184,0,13.614,23.039,2.43
0.703385,1,,,
0.723883,0,14.137,23.110,3.84
0.726084,1,,,
0.746498,0,14.661,23.197,3.90
0.748704,1,,,
0.769026,0,15.184,23.203,-3.44
0.771189,1,,,
0.791631,0,15.708,23.233,6.18
0.793806,1,,,
0.814100,0,16.232,23.348,3.99
0.816295,1,,,
0.836483,0,16.755,23.430,3.32
0.838584,1,,,
0.858796,0,17.279,23.480,1.15
0.860914,1,,,
0.881084,0,17.802,23.593,9.02
0.883225,1,,,
0.903183,0,18.326,23.746,4.84
0.905287,1,,,
0.925184,0,18.850,23.800,0.02
0.927303,1,,,
0.947184,0,19.373,23.909,9.91
0.949283,1,,,
0.968985,0,19.897,23.964,-4.90
0.971112,1,,,
0.990884,0,20.420,23.964,4.94
0.992983,1,,,
1.012684,0,20.944,24.019,0.06
1.014823,1,,,
1.034483,0,21.468,23.964,-5.06
1.036583,1,,,
1.056383,0,21.991,23.964,5.02
1.058483,1,,,
1.078183,0,22.515,24.060,3.82
1.080312,1,,,
1.099908,0,23.038,24.072,-2.73
1.101983,1,,,
1.121686,0,23.562,24.085,3.89
1.123783,1,,,
1.143388,0,24.086,24.171,4.10
1.145515,1,,,
1.165011,0,24.609,24.244,2.60
1.167088,1,,,
1.186583,0,25.133,24.308,3.37
1.188684,1,,,
1.208091,0,25.656,24.353,0.80
1.210198,1,,,
1.229584,0,26.180,24.396,3.22
1.231681,1,,,
1.251016,0,26.704,24.406,-2.31
1.253101,1,,,
1.272492,0,27.227,24.481,9.27
1.274584,1,,,
1.293794,0,27.751,24.645,6.18
1.295826,1,,,
1.314983,0,28.274,24.369,-32.21
1.317014,1,,,
1.336783,0,28.798,23.503,-47.24
1.338983,1,,,
1.359583,0,29.322,22.405,-49.07
1.361788,1,,,
1.383583,0,29.845,21.337,-39.97
1.385901,1,,,
1.408714,0,30.369,20.322,-40.83
1.411283,1,,,
1.435184,0,30.892,19.320,-34.87
1.437783,1,,,
1.462983,0,31.416,18.309,-37.88
1.465783,1,,,
1.492482,0,31.940,17.273,-32.35
1.495420,1,,,
1.523709,0,32.463,16.221,-35.02
1.526883,1,,,
1.557199,0,32.987,15.105,-31.63
1.560583,1,,,
1.593222,0,33.510,14.024,-28.36
1.596888,1,,,
1.632084,0,34.034,12.909,-29.02
1.635992,1,,,
1.674683,0,34.558,11.808,-22.69
1.678983,1,,,
1.721096,0,35.081,10.799,-20.79
1.725883,1,,,
1.772084,0,35.605,9.777,-19.29
1.777183,1,,,
1.828810,0,36.128,8.771,-16.20
1.834530,1,,,
1.892221,0,36.652,7.806,-14.22
1.898883,1,,,
1.963983,0,37.176,6.848,-12.50
1.971402,1,,,
2.046683,0,37.699,5.869,-11.18
2.055584,1,,,
2.145121,0,38.223,4.863,-9.27
2.155884,1,,,
2.266921,0,38.746,3.842,-7.50
2.280583,1,,,
2.428795,0,39.270,2.797,-5.41
2.447801,1,,,
2.674314,0,39.794,,
2.707183,1,,,
3.426184,0,,,
