"Time","GateState","kot","Velocity","Acceleration"
0.023226,0,0.000,,
0.028481,1,,,
0.076827,0,0.524,10.070,11.24
0.081782,1,,,
0.127398,0,1.047,10.616,10.38
0.132214,1,,,
0.175584,0,1.571,11.105,9.89
0.180085,1,,,
0.221784,0,2.094,11.537,8.81
0.226184,1,,,
0.266408,0,2.618,11.905,7.67
0.270703,1,,,
0.309784,0,3.142,12.207,6.24
0.313918,1,,,
0.352219,0,3.665,12.454,5.42
0.356295,1,,,
0.393884,0,4.189,12.670,4.94
0.397895,1,,,
0.434884,0,4.712,12.832,2.99
0.438723,1,,,
0.475494,0,5.236,12.994,4.97
0.479384,1,,,
0.515484,0,5.760,13.202,5.42
0.519384,1,,,
0.554827,0,6.283,13.357,2.49
0.558584,1,,,
0.593884,0,6.807,13.534,6.57
0.597496,1,,,
0.632214,0,7.330,13.744,4.36
0.635984,1,,,
0.670084,0,7.854,13.933,5.62
0.673685,1,,,
0.707384,0,8.378,14.092,2.92
0.711007,1,,,
0.744398,0,8.901,14.209,3.43
0.747998,1,,,
0.781084,0,9.425,14.322,2.73
0.784584,1,,,
0.817516,0,9.948,14.385,0.69
0.821084,1,,,
0.853884,0,10.472,14.431,1.84
0.857397,1,,,
0.890084,0,10.996,14.441,-1.25
0.893509,1,,,
0.926398,0,11.519,14.462,2.38
0.929884,1,,,
0.962495,0,12.043,14.558,2.96
0.966007,1,,,
0.998330,0,12.566,14.628,0.93
1.001711,1,,,
1.034084,0,13.090,14.710,3.65
1.037484,1,,,
1.069523,0,13.614,14.824,2.77
1.072984,1,,,
1.104729,0,14.137,14.917,2.56
1.108090,1,,,
1.139724,0,14.661,15.004,2.42
1.143131,1,,,
1.174523,0,15.184,15.076,1.71
1.177911,1,,,
1.209184,0,15.708,15.115,0.52
1.212530,1,,,
1.243804,0,16.232,15.090,-2.01
1.247184,1,,,
1.278584,0,16.755,15.089,1.99
1.281920,1,,,
1.313205,0,17.279,15.047,-4.45
1.316582,1,,,
1.348184,0,17.802,15.007,2.21
1.351507,1,,,
1.382984,0,18.326,15.068,1.27
1.386384,1,,,
1.417683,0,18.850,15.090,-0.02
1.420913,1,,,
1.452383,0,19.373,15.133,2.52
1.455612,1,,,
1.486884,0,19.897,15.221,2.58
1.490214,1,,,
1.521184,0,20.420,15.305,2.30
1.524484,1,,,
1.555308,0,20.944,15.332,-0.67
1.558684,1,,,
1.589484,0,21.468,15.352,1.81
1.592797,1,,,
1.623522,0,21.991,15.355,-1.63
1.626827,1,,,
1.657684,0,22.515,15.318,-0.50
1.660984,1,,,
1.691884,0,23.038,15.307,-0.16
1.695209,1,,,
1.726097,0,23.562,15.238,-3.87
1.729384,1,,,
1.760609,0,24.086,15.180,0.47
1.763916,1,,,
1.795084,0,24.609,15.243,3.21
1.798401,1,,,
1.829311,0,25.133,15.265,-1.89
1.832584,1,,,
1.863684,0,25.656,15.272,2.24
1.866903,1,,,
1.897884,0,26.180,15.332,1.30
1.901201,1,,,
1.931984,0,26.704,15.396,2.42
1.935216,1,,,
1.965903,0,27.227,15.423,-0.83
1.969215,1,,,
1.999884,0,27.751,15.423,0.85
2.003197,1,,,
2.033802,0,28.274,15.423,-0.85
2.037084,1,,,
2.067784,0,28.798,15.382,-1.58
2.071084,1,,,
2.101884,0,29.322,15.400,2.67
2.105184,1,,,
2.135784,0,29.845,15.396,-2.91
2.138984,1,,,
2.169903,0,30.369,14.922,-24.88
2.173284,1,,,
2.206084,0,30.892,13.952,-28.73
2.209784,1,,,
2.245186,0,31.416,12.878,-26.22
2.249084,1,,,
2.287684,0,31.940,11.848,-22.26
2.291888,1,,,
2.333884,0,32.463,10.872,-19.96
2.338584,1,,,
2.384384,0,32.987,9.908,-18.23
2.389484,1,,,
2.440084,0,33.510,8.912,-17.53
2.445828,1,,,
2.502688,0,34.034,7.891,-15.09
2.509224,1,,,
2.573884,0,34.558,6.859,-13.92
2.581384,1,,,
2.657284,0,35.081,5.789,-11.73
2.666184,1,,,
2.758001,0,35.605,4.719,-9.52
2.769084,1,,,
2.885284,0,36.128,3.643,-7.39
2.899410,1,,,
3.059984,0,36.652,2.577,-4.81
3.080604,1,,,
3.332620,0,37.176,1.591,-2.42
3.369482,1,,,
4.011184,0,37.699,,
4.193483,1,,,
