"Time","GateState","kot","Velocity","Acceleration"
0.059797,0,0.000,,
0.065084,1,,,
0.114084,0,0.524,9.955,11.41
0.119020,1,,,
0.165184,0,1.047,10.505,10.12
0.170082,1,,,
0.213884,0,1.571,10.999,10.17
0.218394,1,,,
0.260484,0,2.094,11.426,8.14
0.264898,1,,,
0.305584,0,2.618,11.785,7.76
0.309904,1,,,
0.349384,0,3.142,12.096,6.44
0.353522,1,,,
0.392184,0,3.665,12.336,4.80
0.396284,1,,,
0.434284,0,4.189,12.559,5.77
0.438327,1,,,
0.475584,0,4.712,12.720,2.03
0.479508,1,,,
0.516614,0,5.236,12.867,5.13
0.520511,1,,,
0.556984,0,5.760,13.080,5.46
0.560884,1,,,
0.596685,0,6.283,13.256,3.42
0.600393,1,,,
0.635984,0,6.807,13.427,5.28
0.639684,1,,,
0.674684,0,7.330,13.637,5.55
0.678482,1,,,
0.712784,0,7.854,13.835,4.83
0.716404,1,,,
0.750384,0,8.378,13.995,3.72
0.753986,1,,,
0.787612,0,8.901,14.132,3.62
0.791284,1,,,
0.824488,0,9.425,14.214,0.85
0.828084,1,,,
0.861284,0,9.948,14.269,2.10
0.864794,1,,,
0.897881,0,10.472,14.345,2.09
0.901399,1,,,
0.934284,0,10.996,14.344,-2.17
0.937784,1,,,
0.970889,0,11.519,14.345,2.26
0.974395,1,,,
1.007284,0,12.043,14.445,3.24
1.010784,1,,,
1.043384,0,12.566,14.516,0.68
1.046786,1,,,
1.079424,0,13.090,14.585,3.11
1.082826,1,,,
1.115188,0,13.614,14.696,3.10
1.118684,1,,,
1.150684,0,14.137,14.806,3.13
1.154084,1,,,
1.185915,0,14.661,14.875,0.75
1.189384,1,,,
1.221084,0,15.184,14.937,2.79
1.224496,1,,,
1.256023,0,15.708,14.978,-0.46
1.259411,1,,,
1.291000,0,16.232,14.964,-0.36
1.294395,1,,,
1.326006,0,16.755,14.962,0.25
1.329422,1,,,
1.360991,0,17.279,14.901,-3.72
1.364384,1,,,
1.396284,0,17.802,14.873,2.09
1.399616,1,,,
1.431403,0,18.326,14.937,1.59
1.434883,1,,,
1.466391,0,18.850,14.955,-0.55
1.469705,1,,,
1.501424,0,19.373,14.983,2.12
1.504784,1,,,
1.536284,0,19.897,15.055,1.99
1.539684,1,,,
1.570984,0,20.420,15.133,2.53
1.574293,1,,,
1.605484,0,20.944,15.155,-1.28
1.608881,1,,,
1.640084,0,21.468,15.199,3.85
1.643422,1,,,
1.674384,0,21.991,15.199,-3.84
1.677710,1,,,
1.708984,0,22.515,15.155,1.26
1.712296,1,,,
1.743484,0,23.038,15.134,-2.49
1.746884,1,,,
1.778182,0,23.562,15.046,-2.54
1.781484,1,,,
1.813084,0,24.086,15.002,0.03
1.816422,1,,,
1.847984,0,24.609,15.046,2.48
1.851384,1,,,
1.882684,0,25.133,15.068,-1.25
1.885984,1,,,
1.917484,0,25.656,15.102,3.21
1.920784,1,,,
1.952028,0,26.180,15.171,0.81
1.955412,1,,,
1.986509,0,26.704,15.231,2.66
1.989804,1,,,
2.020784,0,27.227,15.261,-0.92
2.024129,1,,,
2.055129,0,27.751,15.265,1.18
2.058484,1,,,
2.089384,0,28.274,15.253,-1.89
2.092704,1,,,
2.123785,0,28.798,15.221,0.03
2.127094,1,,,
2.158184,0,29.322,15.221,-0.03
2.161584,1,,,
2.192584,0,29.845,15.172,-2.81
2.195883,1,,,
2.227206,0,30.369,14.675,-25.88
2.230599,1,,,
2.264084,0,30.892,13.666,-28.87
2.267796,1,,,
2.304090,0,31.416,12.560,-26.40
2.308084,1,,,
2.347784,0,31.940,11.521,-21.16
2.352092,1,,,
2.395305,0,32.463,10.541,-20.09
2.400202,1,,,
2.447584,0,32.987,9.559,-17.48
2.452884,1,,,
2.505421,0,33.510,8.558,-17.10
2.511484,1,,,
2.570884,0,34.034,7.516,-14.74
2.577784,1,,,
2.646095,0,34.558,6.463,-13.27
2.654084,1,,,
2.735284,0,35.081,,
2.744884,1,,,
2.845130,0,,,
