"Time","GateState","kot","Velocity","Acceleration"
0.034684,0,0.000,,
0.037392,1,,,
0.062484,0,0.524,19.144,22.28
0.065183,1,,,
0.089412,0,1.047,19.652,15.43
0.091983,1,,,
0.115783,0,1.571,20.159,23.01
0.118283,1,,,
0.141383,0,2.094,20.701,19.39
0.143883,1,,,
0.166384,0,2.618,21.160,17.30
0.168686,1,,,
0.190883,0,3.142,21.596,18.35
0.193184,1,,,
0.214883,0,3.665,22.030,17.81
0.217191,1,,,
0.238426,0,4.189,22.427,15.86
0.240683,1,,,
0.261584,0,4.712,22.789,15.47
0.263788,1,,,
0.284383,0,5.236,23.157,16.83
0.286596,1,,,
0.306811,0,5.760,23.535,16.85
0.308983,1,,,
0.328884,0,6.283,23.871,13.59
0.331018,1,,,
0.350683,0,6.807,24.179,14.64
0.352790,1,,,
0.372198,0,7.330,24.353,1.56
0.374283,1,,,
0.393684,0,7.854,24.595,20.96
0.395688,1,,,
0.414783,0,8.378,24.935,11.24
0.416814,1,,,
0.435684,0,8.901,25.113,5.82
0.437625,1,,,
0.456483,0,9.425,25.283,10.52
0.458483,1,,,
0.477104,0,9.948,25.480,8.57
0.479117,1,,,
0.497584,0,10.472,25.730,15.88
0.499512,1,,,
0.517807,0,10.996,25.921,3.02
0.519788,1,,,
0.537983,0,11.519,26.133,17.96
0.539907,1,,,
0.557883,0,12.043,26.378,6.69
0.559791,1,,,
0.577683,0,12.566,26.511,6.77
0.579583,1,,,
0.597384,0,13.090,26.786,21.08
0.599283,1,,,
0.616783,0,13.614,27.099,11.18
0.618683,1,,,
0.636029,0,14.137,26.926,-29.09
0.637886,1,,,
0.655683,0,14.661,26.153,-49.58
0.657684,1,,,
0.676099,0,15.184,25.080,-55.59
0.678083,1,,,
0.697483,0,15.708,24.043,-41.32
0.699513,1,,,
0.719684,0,16.232,23.081,-45.33
0.721919,1,,,
0.742898,0,16.755,22.069,-41.88
0.745189,1,,,
0.767183,0,17.279,21.083,-39.32
0.769584,1,,,
0.792621,0,17.802,20.087,-39.04
0.795183,1,,,
0.819384,0,18.326,19.079,-36.27
0.822027,1,,,
0.847583,0,18.850,18.073,-35.08
0.850396,1,,,
0.877418,0,19.373,17.058,-32.98
0.880429,1,,,
0.909083,0,19.897,16.001,-33.75
0.912202,1,,,
0.943020,0,20.420,14.950,-28.20
0.946413,1,,,
0.979283,0,20.944,13.982,-25.21
0.982983,1,,,
1.018090,0,21.468,12.982,-26.30
1.021984,1,,,
1.060220,0,21.991,11.967,-21.91
1.064403,1,,,
1.105883,0,22.515,11.010,-19.99
1.110583,1,,,
1.155692,0,23.038,10.062,-18.08
1.160783,1,,,
1.210422,0,23.562,9.098,-17.13
1.216097,1,,,
1.271483,0,24.086,8.131,-14.54
1.277798,1,,,
1.340084,0,24.609,7.173,-13.40
1.347222,1,,,
1.418885,0,25.133,6.186,-11.63
1.427224,1,,,
1.511602,0,25.656,5.197,-9.71
1.521603,1,,,
1.624183,0,26.180,4.195,-8.09
1.636384,1,,,
1.769284,0,26.704,3.193,-5.72
1.785602,1,,,
1.968991,0,27.227,2.237,-3.85
1.993207,1,,,
2.293883,0,27.751,1.350,-1.61
2.338199,1,,,
3.359284,0,28.274,,
4.641928,1,,,
