"Time","GateState","kot","Velocity","Acceleration"
0.221687,0,0.000,,
0.234684,1,,,
0.329021,0,0.524,5.798,17.14
0.337484,1,,,
0.409701,0,1.047,7.115,15.50
0.416708,1,,,
0.478184,0,1.571,8.126,14.03
0.484396,1,,,
0.539384,0,2.094,8.926,12.09
0.544884,1,,,
0.595884,0,2.618,9.611,12.18
0.601024,1,,,
0.648601,0,3.142,10.231,11.32
0.653616,1,,,
0.698408,0,3.665,10.773,10.47
0.703084,1,,,
0.745912,0,4.189,11.222,8.39
0.750484,1,,,
0.791784,0,4.712,11.607,8.39
0.796193,1,,,
0.836184,0,5.236,11.940,6.61
0.840484,1,,,
0.879518,0,5.760,12.208,5.76
0.883684,1,,,
0.921984,0,6.283,12.460,6.11
0.926084,1,,,
0.963584,0,6.807,12.648,2.94
0.967584,1,,,
1.004784,0,7.330,12.820,5.40
1.008708,1,,,
1.045282,0,7.854,13.071,7.03
1.049184,1,,,
1.084916,0,8.378,13.283,3.66
1.088684,1,,,
1.124123,0,8.901,13.468,5.75
1.127818,1,,,
1.162684,0,9.425,13.679,5.23
1.166424,1,,,
1.200684,0,9.948,13.883,5.50
1.204291,1,,,
1.238120,0,10.472,14.038,2.75
1.241784,1,,,
1.275284,0,10.996,14.170,4.37
1.278890,1,,,
1.312027,0,11.519,14.279,1.58
1.315587,1,,,
1.348621,0,12.043,14.334,1.41
1.352184,1,,,
1.385084,0,12.566,14.408,2.66
1.388602,1,,,
1.421303,0,13.090,14.424,-1.77
1.424785,1,,,
1.457684,0,13.614,14.449,3.10
1.461184,1,,,
1.493783,0,14.137,14.565,3.38
1.497284,1,,,
1.529582,0,14.661,14.637,0.62
1.532925,1,,,
1.565328,0,15.184,14.729,4.52
1.568710,1,,,
1.600685,0,15.708,14.842,1.89
1.604184,1,,,
1.635884,0,16.232,14.955,4.54
1.639204,1,,,
1.670711,0,16.755,15.024,-0.57
1.674122,1,,,
1.705584,0,17.279,15.064,2.82
1.708984,1,,,
1.740230,0,17.802,15.089,-1.34
1.743598,1,,,
1.774984,0,18.326,15.090,1.36
1.778307,1,,,
1.809629,0,18.850,15.104,-0.56
1.813018,1,,,
1.844318,0,19.373,15.056,-2.19
1.847684,1,,,
1.879184,0,19.897,15.045,1.54
1.882519,1,,,
1.913925,0,20.420,15.108,2.12
1.917316,1,,,
1.948498,0,20.944,15.142,-0.17
1.951784,1,,,
1.983084,0,21.468,15.180,2.37
1.986326,1,,,
2.017484,0,21.991,15.263,2.44
2.020884,1,,,
2.051696,0,22.515,15.333,1.65
2.054984,1,,,
2.085784,0,23.038,15.358,-0.17
2.089084,1,,,
2.119884,0,23.562,15.377,1.33
2.123203,1,,,
2.153884,0,24.086,15.400,-0.01
2.157184,1,,,
2.187884,0,24.609,15.376,-1.37
2.191184,1,,,
2.221988,0,25.133,15.355,0.14
2.225319,1,,,
2.256081,0,25.656,15.311,-2.76
2.259304,1,,,
2.290385,0,26.180,15.286,1.31
2.293691,1,,,
2.324588,0,26.704,15.333,1.42
2.327929,1,,,
2.358684,0,27.227,15.333,-1.39
2.361914,1,,,
2.392884,0,27.751,15.355,2.66
2.396100,1,,,
2.426884,0,28.274,15.423,1.32
2.430196,1,,,
2.460784,0,28.798,15.468,1.35
2.464019,1,,,
2.494584,0,29.322,15.504,0.78
2.497884,1,,,
2.528328,0,29.845,15.514,-0.18
2.531684,1,,,
2.562084,0,30.369,15.517,0.37
2.565326,1,,,
2.595813,0,30.892,15.491,-1.91
2.599098,1,,,
2.629684,0,31.416,15.494,2.09
2.632984,1,,,
2.663400,0,31.940,15.465,-3.80
2.666630,1,,,
2.697398,0,32.463,15.002,-23.45
2.700782,1,,,
2.733308,0,32.987,14.075,-28.15
2.736985,1,,,
2.772006,0,33.510,13.021,-26.34
2.775884,1,,,
2.814002,0,34.034,11.997,-22.40
2.818184,1,,,
2.859584,0,34.558,11.031,-20.00
2.864229,1,,,
2.909291,0,35.081,10.068,-18.76
2.914316,1,,,
2.964098,0,35.605,9.064,-17.85
2.969799,1,,,
3.025584,0,36.128,8.050,-15.15
3.031984,1,,,
3.095184,0,36.652,7.029,-14.19
3.102484,1,,,
3.176318,0,37.176,5.964,-12.07
3.184984,1,,,
3.273714,0,37.699,4.899,-9.80
3.284384,1,,,
3.395405,0,38.223,3.830,-7.76
3.408884,1,,,
3.559326,0,38.746,2.769,-5.19
3.578484,1,,,
3.805121,0,39.270,1.773,-2.91
3.837188,1,,,
4.307013,0,39.794,,
4.398523,1,,,
