"Time","GateState","kot","Velocity","Acceleration"
0.183705,0,0.000,,
0.197708,1,,,
0.279684,0,0.524,7.456,41.68
0.286383,1,,,
0.339808,0,1.047,9.786,35.82
0.344829,1,,,
0.388903,0,1.571,11.506,34.27
0.393186,1,,,
0.431683,0,2.094,12.948,33.12
0.435583,1,,,
0.470223,0,2.618,14.172,30.40
0.473783,1,,,
0.505811,0,3.142,15.216,28.27
0.509183,1,,,
0.539188,0,3.665,16.142,27.22
0.542383,1,,,
0.570783,0,4.189,16.993,26.67
0.573730,1,,,
0.600884,0,4.712,17.764,24.53
0.603782,1,,,
0.629783,0,5.236,18.470,24.36
0.632520,1,,,
0.657620,0,5.760,19.036,16.26
0.660284,1,,,
0.684811,0,6.283,19.584,24.04
0.687383,1,,,
0.711122,0,6.807,20.155,19.40
0.713683,1,,,
0.736784,0,7.330,20.631,17.72
0.739183,1,,,
0.761892,0,7.854,21.073,17.45
0.764284,1,,,
0.786488,0,8.378,21.511,18.20
0.788884,1,,,
0.810583,0,8.901,21.998,22.21
0.812828,1,,,
0.834106,0,9.425,22.403,12.24
0.836391,1,,,
0.857330,0,9.948,22.761,18.52
0.859584,1,,,
0.880123,0,10.472,23.143,15.04
0.882317,1,,,
0.902583,0,10.996,23.503,17.04
0.904722,1,,,
0.924684,0,11.519,23.892,18.10
0.926796,1,,,
0.946420,0,12.043,24.123,3.15
0.948496,1,,,
0.968095,0,12.566,24.315,14.55
0.970184,1,,,
0.989492,0,13.090,24.590,11.17
0.991583,1,,,
1.010683,0,13.614,24.817,10.30
1.012683,1,,,
1.031690,0,14.137,24.995,6.56
1.033684,1,,,
1.052581,0,14.661,25.235,16.43
1.054584,1,,,
1.073192,0,15.184,25.478,7.19
1.075184,1,,,
1.093683,0,15.708,25.673,11.82
1.095683,1,,,
1.113983,0,16.232,25.988,19.20
1.115925,1,,,
1.133983,0,16.755,26.246,6.59
1.135913,1,,,
1.153883,0,17.279,26.378,6.69
1.155783,1,,,
1.173683,0,17.802,26.512,6.88
1.175583,1,,,
1.193382,0,18.326,26.629,4.96
1.195218,1,,,
1.213009,0,18.850,26.768,9.23
1.214896,1,,,
1.232504,0,19.373,26.938,8.16
1.234405,1,,,
1.251884,0,19.897,26.999,-1.81
1.253724,1,,,
1.271290,0,20.420,27.048,6.78
1.273129,1,,,
1.290601,0,20.944,27.205,9.52
1.292488,1,,,
1.309783,0,21.468,27.403,11.08
1.311616,1,,,
1.328818,0,21.991,27.486,-2.36
1.330683,1,,,
1.347883,0,22.515,27.625,16.94
1.349702,1,,,
1.366728,0,23.038,27.818,3.58
1.368583,1,,,
1.385528,0,23.562,27.886,3.64
1.387383,1,,,
1.404282,0,24.086,28.034,12.18
1.406083,1,,,
1.422884,0,24.609,28.043,-11.23
1.424683,1,,,
1.441625,0,25.133,27.987,5.25
1.443482,1,,,
1.460301,0,25.656,28.107,7.61
1.462124,1,,,
1.478883,0,26.180,28.207,3.11
1.480628,1,,,
1.497427,0,26.704,28.266,3.29
1.499189,1,,,
1.515931,0,27.227,28.328,3.45
1.517783,1,,,
1.534394,0,27.751,28.399,4.24
1.536183,1,,,
1.552805,0,28.274,28.429,-1.01
1.554609,1,,,
1.571229,0,28.798,28.535,12.44
1.573025,1,,,
1.589506,0,29.322,28.698,5.41
1.591284,1,,,
1.607720,0,29.845,28.750,0.28
1.609494,1,,,
1.625930,0,30.369,28.798,5.05
1.627709,1,,,
1.644083,0,30.892,28.855,1.26
1.645789,1,,,
1.662222,0,31.416,28.511,-39.23
1.663984,1,,,
1.680824,0,31.940,27.655,-52.81
1.682684,1,,,
1.700113,0,32.463,26.558,-60.95
1.702004,1,,,
1.720296,0,32.987,25.455,-48.33
1.722283,1,,,
1.741283,0,33.510,24.439,-48.47
1.743388,1,,,
1.763183,0,34.034,23.446,-42.23
1.765307,1,,,
1.785983,0,34.558,22.441,-45.97
1.788284,1,,,
1.809902,0,35.081,21.395,-41.44
1.812306,1,,,
1.834983,0,35.605,20.365,-40.72
1.837483,1,,,
1.861391,0,36.128,19.314,-38.88
1.864083,1,,,
1.889283,0,36.652,18.275,-35.66
1.892091,1,,,
1.918784,0,37.176,17.180,-38.55
1.921706,1,,,
1.950380,0,37.699,16.114,-28.96
1.953483,1,,,
1.983883,0,38.223,15.142,-29.04
1.987284,1,,,
2.019692,0,38.746,14.098,-29.25
2.023284,1,,,
2.058384,0,39.270,13.074,-23.68
2.062183,1,,,
2.099999,0,39.794,12.105,-22.90
2.104283,1,,,
2.145184,0,40.317,11.125,-20.48
2.149783,1,,,
2.194483,0,40.841,10.147,-19.23
2.199581,1,,,
2.248890,0,41.364,9.158,-17.12
2.254583,1,,,
2.309498,0,41.888,8.162,-15.75
2.315799,1,,,
2.378204,0,42.412,7.155,-13.57
2.385386,1,,,
2.457320,0,42.935,6.156,-11.67
2.465784,1,,,
2.550621,0,43.459,5.143,-10.06
2.560584,1,,,
2.665293,0,43.982,4.133,-7.55
2.677783,1,,,
2.811512,0,44.506,3.167,-5.66
2.828284,1,,,
3.013183,0,45.029,2.214,-3.80
3.036910,1,,,
3.342984,0,45.553,,
3.388319,1,,,
