"Time","GateState","kot","Velocity","Acceleration"
0.033918,0,0.000,,
0.036784,1,,,
0.062586,0,0.524,18.590,22.68
0.065316,1,,,
0.090284,0,1.047,19.217,22.61
0.092922,1,,,
0.117107,0,1.571,19.717,14.71
0.119684,1,,,
0.143404,0,2.094,20.153,18.43
0.145908,1,,,
0.169084,0,2.618,20.714,25.24
0.171511,1,,,
0.193984,0,3.142,21.157,10.35
0.196319,1,,,
0.218584,0,3.665,21.533,20.19
0.220884,1,,,
0.242630,0,4.189,21.984,17.40
0.244984,1,,,
0.266226,0,4.712,22.400,17.85
0.268484,1,,,
0.289387,0,5.236,22.767,13.84
0.291684,1,,,
0.312226,0,5.760,23.122,17.22
0.314484,1,,,
0.334684,0,6.283,23.451,12.08
0.336828,1,,,
0.356884,0,6.807,23.726,12.68
0.358984,1,,,
0.378824,0,7.330,24.002,12.47
0.380984,1,,,
0.400517,0,7.854,24.183,4.25
0.402589,1,,,
0.422127,0,8.378,24.358,11.91
0.424200,1,,,
0.443512,0,8.901,24.608,11.50
0.445595,1,,,
0.464684,0,9.425,24.829,9.40
0.466684,1,,,
0.485689,0,9.948,25.034,10.12
0.487684,1,,,
0.506516,0,10.472,25.238,9.40
0.508584,1,,,
0.527184,0,10.996,25.438,10.01
0.529184,1,,,
0.547684,0,11.519,25.705,16.01
0.549684,1,,,
0.567926,0,12.043,25.986,11.80
0.569897,1,,,
0.587984,0,12.566,26.125,2.03
0.589984,1,,,
0.608010,0,13.090,26.180,3.46
0.609984,1,,,
0.627984,0,13.614,26.330,11.53
0.629902,1,,,
0.647784,0,14.137,26.444,-0.03
0.649684,1,,,
0.667585,0,14.661,26.507,6.39
0.669489,1,,,
0.687292,0,15.184,26.647,7.90
0.689216,1,,,
0.706884,0,15.708,26.759,3.52
0.708718,1,,,
0.726426,0,16.232,26.852,5.96
0.728284,1,,,
0.745884,0,16.755,27.020,11.34
0.747784,1,,,
0.765184,0,17.279,27.200,7.31
0.767016,1,,,
0.784384,0,17.802,27.130,-14.57
0.786284,1,,,
0.803784,0,18.326,27.472,49.78
0.805387,1,,,
0.822526,0,18.850,27.757,-19.34
0.824384,1,,,
0.841515,0,19.373,27.588,1.53
0.843384,1,,,
0.860484,0,19.897,27.648,4.75
0.862384,1,,,
0.879392,0,20.420,27.621,-7.53
0.881209,1,,,
0.898397,0,20.944,27.633,8.80
0.900225,1,,,
0.917288,0,21.468,27.787,7.45
0.919128,1,,,
0.936084,0,21.991,27.829,-3.02
0.937884,1,,,
0.954919,0,22.515,27.846,4.88
0.956704,1,,,
0.973691,0,23.038,27.931,4.13
0.975581,1,,,
0.992412,0,23.562,28.005,3.81
0.994207,1,,,
1.011084,0,24.086,28.096,5.92
1.012884,1,,,
1.029684,0,24.609,28.273,13.16
1.031484,1,,,
1.048124,0,25.133,28.379,-1.73
1.049918,1,,,
1.066585,0,25.656,28.334,-3.15
1.068384,1,,,
1.085084,0,26.180,28.380,8.20
1.086884,1,,,
1.103484,0,26.704,28.455,-0.13
1.105228,1,,,
1.121886,0,27.227,28.085,-40.01
1.123684,1,,,
1.140784,0,27.751,27.220,-51.58
1.142684,1,,,
1.160384,0,28.274,26.141,-58.52
1.162284,1,,,
1.180884,0,28.798,25.071,-45.88
1.182826,1,,,
1.202184,0,29.322,24.074,-47.69
1.204316,1,,,
1.224423,0,29.845,23.039,-45.45
1.226616,1,,,
1.247684,0,30.369,21.997,-44.10
1.249985,1,,,
1.272084,0,30.892,20.930,-43.32
1.274584,1,,,
1.297784,0,31.416,19.861,-39.89
1.300303,1,,,
1.324884,0,31.940,18.766,-40.94
1.327610,1,,,
1.353691,0,32.463,17.653,-36.30
1.356602,1,,,
1.384315,0,32.987,16.512,-38.25
1.387384,1,,,
1.417284,0,33.510,15.390,-29.82
1.420584,1,,,
1.452508,0,34.034,14.379,-27.56
1.456084,1,,,
1.490290,0,34.558,13.336,-27.64
1.494024,1,,,
1.531294,0,35.081,12.297,-23.03
1.535384,1,,,
1.575720,0,35.605,11.316,-21.14
1.580286,1,,,
1.624184,0,36.128,10.337,-19.27
1.629084,1,,,
1.677484,0,36.652,9.339,-18.17
1.682984,1,,,
1.736994,0,37.176,8.321,-16.05
1.743215,1,,,
1.804284,0,37.699,7.286,-14.70
1.811323,1,,,
1.882281,0,38.223,6.224,-12.54
1.890522,1,,,
1.975084,0,38.746,5.165,-10.29
1.985184,1,,,
2.089509,0,39.270,4.096,-8.39
2.102086,1,,,
2.240784,0,39.794,3.021,-5.82
2.258284,1,,,
2.460584,0,40.317,2.001,-3.46
2.488284,1,,,
2.860884,0,40.841,,
2.922413,1,,,
