"Time","GateState","kot","Velocity","Acceleration"
0.104684,0,0.000,,
0.127883,1,,,
0.305213,0,0.524,2.965,3.53
0.321704,1,,,
0.466383,0,1.047,3.483,2.91
0.480682,1,,,
0.608283,0,1.571,3.859,2.39
0.621484,1,,,
0.738683,0,2.094,4.141,1.93
0.750583,1,,,
0.861583,0,2.618,4.374,1.86
0.872884,1,,,
0.978383,0,3.142,4.570,1.49
0.989529,1,,,
1.090884,0,3.665,4.716,1.10
1.101498,1,,,
1.200510,0,4.189,4.806,0.54
1.211120,1,,,
1.308806,0,4.712,4.857,0.42
1.319324,1,,,
1.416107,0,5.236,4.876,-0.08
1.426528,1,,,
1.523588,0,5.760,4.871,-0.01
1.534010,1,,,
1.631090,0,6.283,4.872,0.03
1.641586,1,,,
1.738524,0,6.807,4.857,-0.30
1.748825,1,,,
1.846683,0,7.330,4.856,0.27
1.857027,1,,,
1.954184,0,7.854,4.891,0.38
1.964681,1,,,
2.060783,0,8.378,4.928,0.31
2.070796,1,,,
2.166683,0,8.901,4.970,0.49
2.176684,1,,,
2.271483,0,9.425,5.023,0.51
2.281683,1,,,
2.375183,0,9.948,5.069,0.38
2.385083,1,,,
2.478083,0,10.472,5.080,-0.16
2.488110,1,,,
2.581314,0,10.996,5.063,-0.18
2.591428,1,,,
2.684929,0,11.519,5.033,-0.40
2.695018,1,,,
2.789408,0,12.043,4.990,-0.42
2.799584,1,,,
2.894807,0,12.566,4.952,-0.30
2.905183,1,,,
3.000883,0,13.090,4.906,-0.57
3.011086,1,,,
3.108283,0,13.614,4.877,0.03
3.118583,1,,,
3.215621,0,14.137,4.896,0.33
3.226083,1,,,
3.322183,0,14.661,4.919,0.09
3.332222,1,,,
3.428527,0,15.184,4.951,0.51
3.438584,1,,,
3.533720,0,15.708,5.005,0.52
3.543983,1,,,
3.637786,0,16.232,5.049,0.34
3.647782,1,,,
3.741122,0,16.755,5.059,-0.15
3.751200,1,,,
3.844784,0,17.279,5.053,0.03
3.854883,1,,,
3.948384,0,17.802,5.030,-0.46
3.958484,1,,,
4.052983,0,18.326,4.980,-0.50
4.063183,1,,,
4.158683,0,18.850,4.934,-0.37
4.169083,1,,,
4.265218,0,19.373,4.880,-0.65
4.275483,1,,,
4.373283,0,19.897,4.849,0.07
4.383684,1,,,
4.481181,0,20.420,4.867,0.27
4.491683,1,,,
4.588428,0,20.944,4.887,0.08
4.598583,1,,,
4.695483,0,21.468,4.922,0.59
4.705524,1,,,
4.801184,0,21.991,4.982,0.54
4.811483,1,,,
4.905683,0,22.515,5.032,0.42
4.915620,1,,,
5.009284,0,23.038,5.052,-0.05
5.019388,1,,,
5.112983,0,23.562,6.027,18.86
5.123089,1,,,
5.190469,0,24.086,5.731,-26.48
5.226790,1,,,
5.321483,0,24.609,4.526,8.08
5.331683,1,,,
5.427194,0,25.133,4.931,-0.43
5.437584,1,,,
5.533883,0,25.656,4.869,-0.72
5.544184,1,,,
5.642286,0,26.180,4.830,0.00
5.652714,1,,,
5.750683,0,26.704,4.846,0.29
5.761230,1,,,
5.858384,0,27.227,4.875,0.25
5.868503,1,,,
5.965501,0,27.751,4.911,0.43
5.975609,1,,,
6.071620,0,28.274,4.954,0.38
6.081983,1,,,
6.176883,0,28.798,5.000,0.48
6.186920,1,,,
6.281083,0,29.322,5.023,-0.05
6.291283,1,,,
6.385383,0,29.845,5.015,-0.09
6.395583,1,,,
6.489884,0,30.369,4.993,-0.33
6.500005,1,,,
6.595108,0,30.892,4.949,-0.52
6.605383,1,,,
6.701502,0,31.416,4.879,-0.80
6.711984,1,,,
6.809786,0,31.940,4.643,-3.56
6.820484,1,,,
6.927914,0,32.463,3.979,-7.68
6.940385,1,,,
7.082589,0,32.987,2.901,-6.26
7.101985,1,,,
7.328085,0,33.510,1.777,-2.90
7.358985,1,,,
7.820283,0,34.034,,
7.904812,1,,,
