"Time","GateState","kot","Velocity","Acceleration"
0.030816,0,0.000,,
0.033984,1,,,
0.062784,0,0.524,16.639,16.23
0.065810,1,,,
0.093784,0,1.047,17.166,17.79
0.096731,1,,,
0.123818,0,1.571,17.571,9.15
0.126684,1,,,
0.153390,0,2.094,17.916,14.22
0.156202,1,,,
0.182284,0,2.618,18.381,17.95
0.185025,1,,,
0.210384,0,3.142,18.734,7.21
0.213025,1,,,
0.238184,0,3.665,19.045,15.13
0.240784,1,,,
0.265382,0,4.189,19.461,15.45
0.267984,1,,,
0.292006,0,4.712,19.836,12.68
0.294583,1,,,
0.318184,0,5.236,20.110,8.26
0.320723,1,,,
0.344084,0,5.760,20.376,12.33
0.346588,1,,,
0.369584,0,6.283,20.656,9.64
0.372001,1,,,
0.394784,0,6.807,20.862,6.70
0.397206,1,,,
0.419781,0,7.330,21.102,12.50
0.422184,1,,,
0.444414,0,7.854,21.240,-1.31
0.446784,1,,,
0.469084,0,8.378,21.342,9.62
0.471484,1,,,
0.493484,0,8.901,21.586,10.39
0.495884,1,,,
0.517600,0,9.425,21.726,1.20
0.519885,1,,,
0.541684,0,9.948,21.862,10.08
0.543984,1,,,
0.565503,0,10.472,22.093,9.34
0.567881,1,,,
0.589085,0,10.996,22.291,7.42
0.591384,1,,,
0.612484,0,11.519,22.451,6.31
0.614784,1,,,
0.635729,0,12.043,22.618,8.04
0.637997,1,,,
0.658784,0,12.566,22.780,6.04
0.660998,1,,,
0.681700,0,13.090,22.858,0.77
0.683921,1,,,
0.704597,0,13.614,22.908,3.58
0.706831,1,,,
0.727413,0,14.137,22.948,-0.11
0.729597,1,,,
0.750232,0,14.661,23.031,7.40
0.752417,1,,,
0.772884,0,15.184,23.142,2.39
0.775089,1,,,
0.795484,0,15.708,23.168,-0.02
0.797588,1,,,
0.818084,0,16.232,23.272,9.19
0.820184,1,,,
0.840484,0,16.755,23.427,4.65
0.842684,1,,,
0.862784,0,17.279,23.562,7.42
0.864889,1,,,
0.884930,0,17.802,23.632,-1.08
0.887104,1,,,
0.907097,0,18.326,23.702,7.38
0.909284,1,,,
0.929113,0,18.850,23.800,1.53
0.931284,1,,,
0.951097,0,19.373,23.816,-0.10
0.953281,1,,,
0.973084,0,19.897,23.862,4.28
0.975218,1,,,
0.994984,0,20.420,23.840,-6.27
0.997087,1,,,
1.017010,0,20.944,23.800,2.64
1.019130,1,,,
1.038984,0,21.468,23.919,8.17
1.041095,1,,,
1.060793,0,21.991,23.963,-4.10
1.062884,1,,,
1.082684,0,22.515,23.962,3.95
1.084784,1,,,
1.104497,0,23.038,24.020,1.37
1.106684,1,,,
1.126282,0,23.562,24.137,9.38
1.128312,1,,,
1.147884,0,24.086,24.240,0.17
1.149984,1,,,
1.169484,0,24.609,24.297,5.17
1.171584,1,,,
1.190984,0,25.133,24.346,-0.63
1.193084,1,,,
1.212496,0,25.656,24.337,-0.23
1.214585,1,,,
1.234013,0,26.180,24.390,5.21
1.236115,1,,,
1.255432,0,26.704,24.403,-4.03
1.257484,1,,,
1.276926,0,27.227,23.997,-33.77
1.279012,1,,,
1.299091,0,27.751,23.111,-46.13
1.301316,1,,,
1.322284,0,28.274,22.032,-46.95
1.324529,1,,,
1.346684,0,28.798,20.963,-40.65
1.349084,1,,,
1.372297,0,29.322,19.957,-37.90
1.374884,1,,,
1.399221,0,29.845,18.967,-35.68
1.401884,1,,,
1.427584,0,30.369,17.938,-36.85
1.430484,1,,,
1.457705,0,30.892,16.888,-32.86
1.460784,1,,,
1.489704,0,31.416,15.835,-33.00
1.492930,1,,,
1.523996,0,31.940,14.733,-31.22
1.527484,1,,,
1.560984,0,32.463,13.657,-27.01
1.564702,1,,,
1.600900,0,32.987,12.553,-28.31
1.604921,1,,,
1.644784,0,33.510,11.450,-21.93
1.649184,1,,,
1.692712,0,34.034,10.439,-20.27
1.697684,1,,,
1.745584,0,34.558,9.415,-18.47
1.750884,1,,,
1.804616,0,35.081,8.408,-15.64
1.810584,1,,,
1.870984,0,35.605,7.435,-13.69
1.877984,1,,,
1.946684,0,36.128,6.470,-11.81
1.954499,1,,,
2.034684,0,36.652,5.488,-10.50
2.044186,1,,,
2.140884,0,37.176,4.487,-8.36
2.152488,1,,,
2.274113,0,37.699,3.476,-6.81
2.289229,1,,,
2.457784,0,38.223,2.422,-4.67
2.479928,1,,,
2.764584,0,38.746,,
2.810184,1,,,
