Jeklena zica,,,
,,,
?x/x,,(F-F0)/S,
,,,
0,,0,
0.0007,,31.23,
0.0009,,62.45,
0.00115,,93.68,
0.00135,,124.9,
0.0016,,156.13,
0.00175,,187.36,
0.002,,218.58,
0.00215,,249.81,
0.00235,,281.04,
0.0025,,312.26,
0.0027,,343.49,
0.0029,,374.71,
0.0031,,405.94,
,,,
,,,
